title,story,phonics_focus,sentence_count,source
No Food to be Found,"Josh, the rat, waddled through the alley. He was looking for an open trash can, but could not find even one! Just last week he had hit the jackpot. The cook from Soup for You had left a trash can wide open. Inside, Josh found noodle soup. He and his friend, Chip the alley cat, had gobbled it up. Tonight Josh’s tummy gurgled and grumbled. There was no trash or food to be found! He dreamed about nibbling on a hamburger, a sandwich, a popsicle... He saw one trash can with a tiny opening. He jumped on top of it and tried to wiggle his way into a little opening. But he stumbled, then tumbled from the top of the trash can. Then Josh saw Chip walking through the middle of the alley. “We’ve got a problem, friend. There are no open trash cans and no trash. Not even one bottle on the ground!” said Josh. “I’ve been struggling, too. I can’t seem to find a snack anywhere. I guess the rules are working,” said Chip. “Rules? What rules?” asked Josh. “Mayor Mack made new rules about cleaning up trash. No open trash cans and no trash on the streets. They’ve been trying to keep us away! They called us pests!” Josh was puzzled by this. “Pests? You’ve got to be kidding me! I can’t handle this! I’ve got to eat something. And soon!” said Josh. “Don’t worry,“ said Chip. “I’ve got a plan.”",,36,uprep
No Food to be Found Part 2,"“So, you’ve got a plan?” asked Josh. He was waiting for Chip to explain how they were going to find some food. Chip replied, “None of us will be able to open the dumpsters and the trash cans alone. We’ve got to work together.” “You’ve got a good point, Chip,” said Josh. “Let’s find some of our friends. They’ve all got to be as hungry, too. We can try to think of some ways to topple those trash cans together!” They waited until the middle of the night so none of the people would see them. Then, Chip and Josh found a group of their rat and cat friends. The group huddled together in the alley to discuss the plan. Chip said to the group, “We’ve got to be very quiet. If we make too much of a racket, the people will wake up. They don’t want us around, so if they hear us, we’ll be in trouble.” “Chip and I found this big pile of tangled cable. It took a long time, but we were able to untangle it. I am going to tie the cable to the handle at the top of the trash can next to the dumpster,” Josh explained. Chip said, “Then we will all get on top of the dumpster. We will all pull the cable together to take the top off the trash can. We will need to be gentle. When the top is off, we will need to hold it in the air so it doesn’t tumble and crash to the ground. Then I’ll jump down and get some food.” Josh tied the cable to the handle of the trash can. All the rats and cats hopped on the dumpster and put the cable in their mouths or in their paws. They pulled gently. The top came off! They were careful not to let the top rattle around and wake any of the people up. Chip hopped down. He found two apple cores, a bunch of noodles, some scrambled eggs, and a purple lollipop. He shared the food with the hungry rats and cats. They were so quiet. The people never even knew they had been there.",,33,uprep
Grandma's Magic Attic,"“Grandma, can Pat and I go up in the attic?” James asked his grandma. “I want to see if we have any old stuff we can donate to the high school.” “The door might be locked. Let me check,” said Grandma. “What kinds of things do they want?” she asked. “Old clothes and books. I think anything you can use in your house, too,” said James. Grandma unlocked the attic door. The stairs creaked as Grandma, James, and Pat walked up. “A clock! Tick tock, tick tock!” Pat pointed to an old clock in the corner of the attic. “I don’t think that clock ticks or tocks anymore, Pat,” Grandma said with a smile. They started to unpack some of the boxes of clothes. James and Pat played dress up. James wore an old cloak with a hood that covered his face. Pat wore many necklaces and a purple dress. “What’s that thing?” asked James. He pointed to a strange box. It had a black circle on top of it. And a stick that hung over the circle. The stick looked like it had a needle at the end. “That’s a record player! It plays music,” said Grandma. She picked up a thin square and blew dust off it. She pulled out a shiny black circle and put it on the record player. The circle started to spin and the needle came down. It began to play music! “A long time ago, this is how we played music! Grandpa and I used to dance to this song.” “Let’s dance like Grandma and Grandpa!” said James. They all laughed and danced together to the music. “I think your attic is magic, Grandma,” said Pat. Grandma smiled and gave Pat a peck on the cheek. “It’s not quite magic, but it does make me feel like I’ve gone back in time for a little while!” said Grandma.",,40,uprep
The Huge Package,"Sam was eager to get home after school today. It was Friday, which meant Sam and Dad would make dinner together tonight. He hoped they could make some fudge for after dinner, too. Sam unlocked the door. The package was too large to pick up, so he tried to nudge it into the apartment. It was so big, it barely budged! He put all his weight into it finally and pushed it through their front door. The receipt had Dad’s name on it. Sam didn’t want to open it if it was not meant for him. But he really wanted to know what was inside! He would be a sleuth and look for clues. Sam and Dad had never received such a large package. Sam had no knowledge of Dad ordering anything. So he looked around the apartment for clues. Sam went to the kitchen and got a beverage. He sat down on the edge of the couch and looked up at the ceiling as he thought. “Could it be new luggage? Could it be a large cage? Was Dad finally going to let Sam have a dog?” “And why didn’t Dad tell me about it? He has never deceived me before. Maybe it is supposed to be a surprise?” And just then Dad walked in the door. “Oh, I finally received my package!” Dad said as he looked at the package. What do you think it is?",,26,uprep
Watering Your Garden,"Growing plants in a garden can be so much fun. It can also be hard work! Plants need water to grow. So if you want to be a gardener, you must make sure to water plants properly. The weather is different every day. Sometimes the rain will drench the garden with water. And sometimes the rain doesn’t fall for days or weeks at a time. Most gardens do best with at least an inch of water per week. Keep watch on the weather. If there is not much rain for a few days, then you should water the garden yourself. It is best to water the garden slowly. Make sure each plant is watered. And make sure the soil is very moist. This will help the roots of the plant to grow deep into the soil. Do you know what type of soil is in your garden? If you have clay soil, it will hold water much better than sandy soil. Sandy soil dries out quickly and will need more frequent watering. It is best to water the garden early in the day. Plants should be dry before the sun goes down each day. This will help keep the plants healthy. It is a good idea to put mulch in your garden. Spreading mulch over the soil can help keep the soil moist. Then you won’t need to water the garden as frequently. You can use different things to water the garden. You can fill a pitcher full of water and pour it on the garden. Or you can use a hose or a sprinkler. Each will work if you do your best to cover the whole garden with water.",,27,uprep
Compost,"Did you know that old food can be usable in a garden? Compost is a mixture of garden scraps and kitchen vegetable scraps. When the scraps rot, they can be used in your garden to help vegetables and other plants grow. It is possible to make your own compost. To do this, you must first make a compost pile. The pile is made up of layers, sort of like a birthday cake. To make the layers, begin with scraps. Sprinkle the scraps with plant food (plant food can be bought at the store), and then soil. Repeat until there are a few layers. After a few weeks, use a shovel to mix up the pile. This will help the scraps to decay faster. You’ll know it’s ready when it becomes crumbly. It will probably start to smell bad, too. Some people say it smells horrible, but some people do not mind it as much. Although making your own compost is doable, it can take months for it to be ready. If you want to save time, compost is available to buy, too. Once it is ready, or once you have bought the compost, spread it through the soil in your garden. The rotting scraps may smell terrible, but they will help your plants and vegetables grow!",,18,uprep
My Garden Spot,"Dad walked into the kitchen. He saw Sam scribbling on some paper. “What are you drawing, Sam?”asked Dad. “A sun chart,” Sam replied. “We’ve been learning about gardens at school. I know it’s impossible for us to have a garden because we don’t have a yard. So I’m planning an indoor garden,” Sam explained. “Plants need sun to grow. So I made this chart to keep track of when the sun shines through each window throughout the day. That way, I’ll know the best place to put the garden.” Sam showed Dad the chart. “It looks like the kitchen will be the best spot. It gets sunshine in the morning and afternoon. And it faces south, which means it gets bright sunlight,” said Dad. Sam and Dad went to the local garden center to buy some plants, plant food, a watering can, and potting soil. They chose a lavender plant with little purple flowers and a spider plant with long, thin leaves. As soon as they got home, Sam carefully put the plants on the table next to the kitchen window. He filled the watering can and sprinkled them with water. He made sure they were sitting at the right angle so they would get plenty of sunshine. “Maybe we can grow some vegetables next! And a sunflower! And” Dad stopped Sam. “Let’s see how we do with just two. Then we’ll decide if we can handle any more plants in our wonderful little apartment garden,” said Dad with a smile.",,24,uprep
Babies,"Just like people, animals have babies. A human baby is called an infant. Monkey babies are also called infants. Monkeys carry their babies around just like people! Do you think they cry like human babies? A rabbit’s baby is called a bunny. Bunnies can also be called kittens. Does that remind you of another animal? That’s right! Cat babies are also called kittens. Female rabbits make a nest to keep the bunnies warm and safe. Female cats give birth to around four or five kittens at a time, but they can sometimes have as many as nine! A group of kittens is called a litter. You’ve probably seen a baby dog before. These babies are called puppies. Like kittens, group of puppies is called a a litter. A female dog may give birth to only one or maybe as many as seven or eight puppies in a litter. Like fish, baby birds come from an egg. The female bird lays eggs in a nest. She takes care of the eggs until they hatch. When they are first born, they’re called hatchlings. Which baby is your favorite? The furry ones like puppies, bunnies, or kittens? Or do you like insect babies like a maggot or a caterpillar? Or do you like the fishy fry baby? Or a feathered baby like a hatchling?",,26,uprep
The Life Cycle of Moths and Butterflies,"The Lifecycle Do you think butterflies and moths are animals or insects? You’re right! Butterflies and moths are both insects. Butterflies and moths are similar to each other. They both have wings with pretty patterns. They can both fly. And they both have four stages of life. The first stage is the egg. A mother butterfly or moth lays an egg on a leaf, a stem, or on another object. The second stage is the larva. This is also called a caterpillar. A caterpillar is sort of like a worm with legs. It eats a lot and grows very quickly. The adult stage is the last stage. The caterpillar has turned into an adult butterfly or moth. The adult has wings. The wings usually have a pretty pattern on them. The adult is able to mate and lay eggs. Isn’t this process amazing? Can you think of any other insects that have a lifecycle that is similar to the moth and the butterfly?",,20,uprep
All About Maps,"Sam and Dad have a map of America hanging in the living room. Sam asks Dad, “How many of the states on the map have you been to?” “Well, I haven’t been to very many places. But I have been to Alabama. That is where your grandma was born. I also went to Florida when I was a kid, and I went to Kansas once.” Sam says, “I wonder if we can plan a trip to Alaska? Did you know the highest peak in America is in Alaska? I would love to see all the different animals there, too. Like a moose!” “Or, it would be really fun to travel to Nevada! The Grand Canyon is there. We could hike to the bottom.” “Both of those ideas sound great, Sam. I’ve always wanted to go to Maine or Vermont. I would like to go in the fall to see the leaves changing colors,” says Dad. “I’ve got an idea!” Sam says. “Let’s put stickers on our map of America. We’ll choose one color for the states we have already seen, and another color for the ones we want to visit.” “Great idea,” says Dad. He finds some shiny star stickers. They choose orange stars for the places they’ve been, and purple stars for the places they want to go. Sam and Dad look at the map. “Umm, Sam, I think we’ve covered the entire American map with stars!” “Yep,” says Sam. “I guess that means we’d better start planning our trip across America!” Sam and Dad laugh.",,28,uprep
Sam's Story The Tale of the Knight's Nose,"The king of the Land of Peace loved chocolate. For his birth- day, the queen had a huge chocolate bar made for him. It was so big that it took two men to carry it! It was covered with a pretty gold wrapper. It smelled so good that he almost ate the whole thing, but decided to wait until the next day. He was still full from his chocolate birthday cake (he had eaten eight pieces!). That night, pirates came and stole the whole chocolate bar! A brave knight heard about the fate of the chocolate bar. He told the king he would do his best to locate it and bring it back here to the Land of Peace. The knight was very strong. He could see far into the distance and hear every tiny sound. But he didn’t tell the king one thing: he couldn’t smell! His nose just didn’t work. The knight knew he would be able to see, hear, and fight the pirates. But how would he find the hidden chocolate if he couldn’t smell it? Then, his strong eyes saw a glint of gold, almost like the rays of sun. It was the chocolate bar wrapper! It was hidden in a hole in the ground. He snuck over to the hole. He was so strong he was able to drag it away. The pirates never saw him! The knight found the pirates. They were on the beach, by their ship. They would soon sail away into the sea with the chocolate. The knight hid in the night, watching the pirates. He couldn’t see the chocolate bar anywhere. If only he could smell it! Then he might be able to find it! The knight returned to the Land of Peace and brought the chocolate bar to the king. The king was so happy that he shared a piece of the chocolate with the knight. The king had a big piece, too.",,31,uprep
"Solid, Liquid, or Vapor","Everybody on earth uses water every day. We’re surrounded by it! People drink it, water plants with it; some people even swim underwater for fun! But does everybody know that water can change its shape? Water has been on the earth forever. But water does not always look like the water you drink from a glass. This type of water is called a liquid. A liquid is wet, like the water a firefighter uses to put out a fire. Or the water that crashes down a waterfall. Water can also be a solid. Solid water can be the ice cube you put in your drink in the summertime. Or it can be the snowflakes that softly fall on a winter afternoon. Or the hard hailstones that come down during a hailstorm. Water can also be a vapor. You cannot see or touch water vapor. Heat from the sun turns water from the earth into vapor. The vapor goes up into the sky. When the vapor gets cold again, it turns into rainfall. So, it changes back to a liquid! OK, listen up everyone! You’re going to take a little quiz. Listen to the examples in each of the next three pages. Say what kind of water you would see: liquid, solid, or vapor. Example # : A woman is making coffee with very hot water. There is steam rising from the coffee pot. Is this steam a liquid, a solid, or a vapor? Example # : A football team has a game on a very hot day. They buy a big bag of ice cubes to put in their cooler to keep the drinks cold. Is this bag full of a liquid, a solid, or a vapor? Example # : A girl has a garden with tall sunflowers. She takes a watering can out and waters the sunflowers. What would she use to water the plants? A liquid, solid, or vapor?",,33,uprep
Recycle,"What does it mean? Many materials that we use every- day, like plastic and metal, can be used again. When these materials are recycled, they are used again instead of be- ing thrown away. Materials can be recycled for the same purpose. For example, imagine that you grew inches over the summer. Now, your bicycle is too small for you. You can recycle the bicycle by giving it to your little sister instead of throwing it away. It would be used for the same purpose. Materials can also be recycled for a different purpose. Instead of throwing out food scraps, you can use them for plant food. This process recycles your food scraps for a different purpose: to grow plants in your home garden or your local community garden. Why should you do it? A typical person throws away . tons of solid waste per year! And did you know that Americans throw away enough plastic bottles each year to circle the world times! That’s a lot of trash. When you recycle, you reduce the trash. Also, making these materials uses up a lot of water and puts chemicals in the air. So, recycling helps to save water and keep the air clean, too. What can you do? First, you should know what can be recycled: paper, plastic, glass, metal, textiles, batteries, food, and electrical equipment. Then, separate these materials from your trash. The last step is to find out where these things can be recycled. Maybe your community has a local recycling program and will pick up some of these items. Or you might need to find a place to take them. We can all work together to recycle!",,26,uprep
Animals Big and Small,"There are numerous animals living on the earth. So numerous, it would be ridiculous to try to count them all! Some of the animals and plants are very small. Some are enormous. And some are sort of in between. Let’s learn about some of the smallest and the largest of each. One of the smallest animals is the gold frog. Are you curious how small it is? A gold frog is not even a centimeter long! That’s about the size of a fingernail! Have you ever heard of a slender blind snake? These reptiles are very skinny and only about centimeters long, and have very tiny eyes. They look and act more like a worm than a snake. They are not poisonous or dangerous. You learned about some of the biggest animals and some of the smallest. The earth is also full of many other animals in between! Like the fabulous octopus! Or the whiskery walrus. What is your favorite animal?",,19,uprep
Tad’s Cab,"Tad has a cab. The cab has lots of mud on it. The cab has lots of dust in it. “The cab looks bad!” said Tad. He got a bag of rags and a tin of wax. He dips a rag in the wax. The wax gets rid of the mud and dust. “The cab looks rad!” said Tad. Tad got in the cab. The cab did not go. “Oh no!” said Tad, “I have to get gas!”",Short A Review (CVC),11,ufli
A Can of Jam,"Vin must get a can of jam. He ran to his pal Tam. “Tam, do you have jam?” Tam had a pan of yams but no jam. Vin hops in his van. He stops at Nan’s. “Nan, do you have jam?” Nan has a fan and a pet ram but no jam. Next, Vin asks Gram. “Gram, do you have jam?” “Yes,” said Gram. At last! Vin got his can of jam","Nasalized A Review (an, am)",10,ufli
A Trip on the Tram,"Grant plans a trip to see his best pal, Skip. Grant gets a bag. He crams a hat, a book, and pants in the bag. Grant grabs his bag and skips to the tram stop. The tram is at the stop! Grant gets on the tram. It is six stops to get to Skip. Grant sits and grabs his book from his bag. The tram trip is fast. Grant sees Skip at stop six. The pals have a grand trip.",Short A Advanced Review,11,ufli
Quiz Sid,"Sid is a fun kid. He has lots of wit. His pals ask him for tips. “What is the best spot to dig?” asks Bim. “In the big pit,” said Sid. “What is the best spot to run?” asks Kit. “On flat land,” said Sid. His pals quiz him. “What is six plus ten?” asks Liz. “Hmm,” said Sid, “can I have a hint?”",Short I Review,10,ufli
Twin Gifts,"Trip has a gift for his twin, Prim. But the gift has a twist. “I hid the gift,” said Trip. “Can I have a hint?” asks Prim. “No!” Trip grins. Prim squints. “Is it next to you?” Prim asks. “Yes.” said Trip. Prim jumps and lifts up the gift. “A book!” yips Prim. Prim flips the book and hugs Trip. “I have the best twin!” said Prim. “No, I do!” said Trip as he grins.",Short I Advanced Review,13,ufli
The Fox and the Frog,"The fox went to the pond to hunt frogs. As the fox ran to the pond, the frogs hid a log. The frogs see the fox, but the fox can not see the frogs. The fox jumps on top of the log. The frogs do not hop. The fox looks next to the log. The frogs do not hop. The fox jogs to the next log. Pop! The frogs hop from the log. Plop! The frogs hop into the pond. The fox did not get the frogs. He sobs.",Short O Review,14,ufli
Rob and His Pond,"Rob is fond of his pond. His pond is big. It is the best spot to cast a rod. Rob stands next to the pond. He sees a blob. A blob can be bad if it clogs up the pond. Rob gets in his raft to look at the blob. Rob sees it is not a blob, it’s a frog! The frog is big and wet. The wet frog looks at Rob and hops on his raft. Rob gasps! He tilts the raft to get the frog to drop in the pond. The frog flips and flops. At last, the frog plops in the pond. Rob is glad. He is fond of his pond, but he is not fond of frogs.",Short O Advanced Review,16,ufli
Dug the Pug,"Dug is a pug. He runs and has fun in the sun. But his bud, Rux, is in a rut. Rux got a cut on his leg. Dug sees his bud is sad. Dug wags at Rux. “Let’s run in the sun.” Dug and Rux run in the sun. “I am not in a rut,” said Rux. “I am glad,” said Dug. The pals had fun on the run.",Short U Review,10,ufli
The Mom and Cubs,"Mom and the cubs sit in the den. At dusk, Mom gets up to hunt. The cubs look glum as Mom hunts. What did Mom hunt? Mom just hunts bugs and slugs. What did Mom do? Mom dug to get the bugs and slugs. Mom gets a big lump of bugs. Mom is in the den. The cubs run to Mom. Gulp! The bugs and slugs are yum to the cubs!",Short U Advanced Review,12,ufli
Ten Men on a Jet,"Hal has a big red jet. He met ten men. The ten men ask to look at the big red jet. Hal lets the ten men get on the jet. The men get to sit on the jet. The men get fed on the jet. Yet, the jet did not run. The ten men beg, but Hal can not get the jet to run. He must see if it has gas!",Short U Review,9,ufli
The Sled,"Fred and Ben have big red sleds. The kids are on a quest to see if the sleds are fast. Fred sits on his sled. The sled is not fast. Ben jumps on his sled. The sled is not fast. The kids cannot get the sleds to be fast. “I got it!” yelps Fred. “What is it?” asks Ben. Fred runs to the sled and jumps on. The sled is fast as can be! Fred had to be fast to get the sled to be fast. The kids run and sled, run and sled. Ben looks up and sees the sun set. The kids have to go rest.",Short E Advanced Review,15,ufli
Nic Runs to the Book,"Nic did not run a lot. If he ran, he got hot. It was not fun to be hot. Nic just sits. If he sits, he is not hot. Nic sits on the bus. He has a book to look at on the bus. Nic gets to his bus stop. “Oh!” Nic left his book on the bus. Nic has to run to the bus to get his book. The sun was hot as Nic ran. At the next stop, Nic got on the bus and got his book. It was not fun to run but he was glad to get his book.",Short Vowel Review (all),13,ufli
Mom Has Lots of Jobs,"Mom has lots of jobs. At 7 a.m., Mom jumps on the bed. “Get up, Liv and Vic!” said Mom. “Can you get us OJ and hot buns?” asks Liv. “Yes!” said Mom. Next, Mom runs the kids to the YMCA. “Look at me! I can hop on the mats,” said Vic. “Look at me! I can run six laps,” said Liv. At 12 p.m., Mom, the kids, and the pups went to the vet. “The pups are fit,” said the vet. The kids and the pups have fun in the sun and mom looks at the plants. As the sun sets, mom said, “No jobs are left, kids and pups must go to bed.”",Short Vowel Review (all),14,ufli
Lost on a Run,"West was at camp. He left his tent to run. He runs his best in the sand at camp. He runs and runs. In a bit, he stops next to a big log to rest. He looks up and sees he is lost. West ran fast and lost his camp spot. “I have to get to the tent,” he said. He looks at his steps in the sand. Next, he sees the bend he ran past. In the end, he gets to his tent at camp and did not have to get help.",Short Vowels Advanced 1,11,ufli
Pet Land,"Jan and Tom are the best of pals. “Let’s go to Pet Land!” said Jan to Tom. “Pet Land has a lot of pets. It is the best pet spot to get dogs, cats, frogs, and slugs,” said Jan. The kids step into Pet Land. “What do you see?” asks Jan. “Look! The frogs jump from pad to pad! The frogs are fast!” said Tom. “Look! The dogs do flips! The dogs are fast!” said Jan. “Look! The cats spin and run! The cats are as fast as the dogs!” said Tom. “Look! Can you spot the slug?” asks Jan. “I see the slug! The slug bends and rests on the log, but the slug is not fast,” said Tom. Pet Land is fun!",Short Vowels Advanced 1,20,ufli
Fun on the Mat,"Kat and Grant are best pals. “Look at that big, red mat!”, said Kat. “I can do splits and flips.” Kat steps on the mat to do a split. “Look at me, Grant!” Kat got up and did a grand flip. Grant gasps and claps at Kat. Kat asks Grant, “What can you do on the mat?” Grant clasps his hands, jumps up, and flips. Kat claps at Grant. “Let’s do a stunt!”, said Kat. Grant grabs Kat’s left hand to help do swift flips. Kat lands on the mat. Kat and Grant did it! The pals clap and have a blast on the mat!",Short Vowels Advanced 2,12,ufli
The Hunt,"Jen and Bronx went on a hunt. “Look at the map”, said Bronx. “Stomp on the end of the log,” said Jen. “I see the top of a bag! Let’s dig it up!” said Bronx. The bag had six gum drops. Next, the kids went to the pond. “Look past the plant, Bronx. Can you see a bag?” asks Jen. “I see it! A bag is in the nest. It has ten mints!” said Bronx. Last, the kids went to the big stump. In a snap, Jen said, “I see a plump bag!” Bronx ran a sprint to the bag. It had lots of red hots. “Let’s split the bags,” said Jen. “It’s a grand plan!” said Bronx.",Short Vowels Advanced 2,17,ufli
The Jazz Class,"“Jill, do you want to go to a tap class or a jazz class?” asks Bess. “I want to go to a jazz class to do jumps and box steps!” said Jill. Bess adds Jill to Miss Bell’s jazz class. “Tell your mom the class is at ten,” said Bess, “I will help you stuff your jazz bag.” Jill grabs her red bag. “What do I put in the bag?” asks Jill. Put in a dress, but no frills. It must fit well. Next, toss in pins for your bun. Last, add your jazz book,” said Bess. “This class will be swell!” said Jill. “The best!” said Bess.",FLSZ Spelling Rule,11,ufli
The Dress Mess,"Steff ran in the grass and fell. “I am OK,” yells Steff. Miss Puff looks at Steff. “You are OK, but your dress is a mess!” “No!” Steff frets, “Mom will fuss if the dress is a mess.” “Do not fret,” said Miss Puff, “I will buff your dress and your mom will not see the mess.” Miss Puff rubs suds on the dress to get the mess off. Steff looks at the dress and huffs, “You can still see the mess.” “It is not bad,” said Miss Puff, “just a bit of mess left on the cuff.” Steff sees mom. Mom sees Steff. “What is it?” asks Mom. “The dress!” sniffs Steff, “it is a mess.” Mom looks at the dress. “Do not stress. I can fix the mess. Do you want to help me?” Steff nods. Mom hugs Steff.",FLSZ Spelling Rule,12,ufli
Cliff the Bull,"Cliff is a small bull. All Cliff wants to do is go run in the grass on the hills. But in the fall, he must be in a stall. You see, Cliff stomps on the grass and it gets small. He must be in a stall for a bit, so the grass can get tall. Cliff wants to be in the hills, but I must tell him no. Cliff is mad, so he rolls to hit the stall wall. The wall falls! Cliff runs to the hill. I call to him, but he will not go in the stall. What can I do?","-all, -oll, -ull",11,ufli
The Bull Frog and Troll,"A bull frog sits on a big pad in a pond. The bull frog is sad and wants a pal. A troll sits on a hill next to the pond. The troll is sad and wants a pal. Can the bull frog and the troll be pals? The troll pulls bugs from the tall grass on the hill. The bull frog sees the troll and hops up to him. “Can I see your bugs?” asks the bull frog. The troll grins. “Yes, I have lots of bugs you can look at.” The troll and the bull frog go up the hill to pull bugs from the tall grass. “You are so fun,” said the troll. “Do you want to be my pal?” “You bet!” said the bull frog. So, the troll and the bull frog got to be pals.","-all, -oll, -ull",13,ufli
Zack’s Trick,"Zack has a black bag. “Do you want to see a trick?” Zack asks his pal Brock. Brock nods. Zack picks up the bag. “Look in the bag and tell me what you see.” Zack looks in the bag but can not see well. “Quack, quack!” Brock jumps back. “Is it a duck?” Brock asks. “No! It’s not a duck,” says Zack. Brock looks back in the bag. He still can not see well. “Cluck, Cluck!” Brock jumps back. “Is it a chick?” Brock asks. “No! It’s not a chick,” says Zack. Zack flips the bag and a rock falls in his hand. Brock looks at Zack. “What? It’s just a rock? But what was the quack and the cluck from?” Zack grins and yells, “Quack, quack, cluck, cluck, my trick got you!”",ck /k/,20,ufli
Fish in Trash,"Shep and I go to the pond to skip rocks. As we get to the pond, we are in shock. The pond is full of trash! “What a mess!” I gag. I see a fish is stuck in mesh from the trash. “We have to help the fish!” I yell. “We will!” Shep yells back. We dash to the pond in a flash. Shep gets the mesh off the fish. “You are fast!” I gush. The fish swims on and we wish it well. Next, we stash the rest of the trash from the pond in a bag. We pull the bag shut. “Not bad!” Shep grins at me and we go back to skip rocks.",sh /sh/,14,ufli
Clams,"Dad put a bag of fresh clams on the shelf. “Do you want to help me shuck the clams?” Dad asks. “That will be fun! Where do you get them from?” asks Nash. “Get your iPad. Let’s look that up on the web,” Dad said. Nash sees a man dig and dig in the wet sand. The man pulls up six small clams. “You find them in the sand!” said Dell. “You got it!” Dad said. Dad hands Nash a stiff brush. He scrubs the grit off the clam shells. Then, dad helps Nash shuck the clams. Next, Dad drops them in a hot pot. Last, Dad and Nash gulp them up. “Yum! Yum!” they said.",Voiced th /th/,17,ufli
My Sloth Smells!,"I have a pet sloth. He is as soft as cloth, but he smells of filth. I have him sit in a lot of baths. But he still smells of filth! If I do the math, this next bath will be his tenth. As he goes in the tub, I add thick suds to help the smell. It did the trick! He smells of fresh grass, not filth. With the bath in the past, we sit and grab snacks. I had a small plum, and my pet sloth had twigs with buds on them. We were so glad the bad smell left!",Unvoiced th /th/,11,ufli
Chimps,"Chad met up with Chip to go on a walk and talk. As they walk, Chad says, “I just got a book on chimps. It says they munch on ants and plants.” “Do they run fast?” asks Chad. “Yes, they can run fast in the grass. And they can jump from branch to branch.” “Do they nap?” asks Chad. “Yes! They nap in nests of twigs.” Chip yells, “I wish I had a chimp! I want a chimp! It can be such fun!” Chad said, “No! Chimps are not pets. They get big and can snap at you.” Chip was sad. “Get a dog!” Chad said with a grin. “Yes, a dog will be a fun pet,” said Chip and he was glad.",ch /ch/,13,ufli
The Brick Shop,"Thad and Dell walk in to the brick shop. In the brick shop, bricks can be lots of stuff, not just bricks. “Look at all of the bricks in the bins!” says Dell, “The big red bricks can be a ship.” “The small tan bricks can be a cat. The small black bricks can be a rat. The cat can run with the rat.” says Thad. Dell and Thad pick their bricks from the bins. Then, the kids look up at the clock. The hands are at 12. “Grab your bricks and your cash, Thad. We do not want to miss lunch at the crab shack!” said Dell. “This was fun!” said Thad. “The best!” said Dell.",Digraphs Review 1,12,ufli
We Like to Shop,"“Chet, do you want to go to the mall?” asks Trish. “Yes! The mall has the best shops. We can chit-chat as we walk,” said Chet. Trish and Chet stop at the clock shop. Tick- tock go the clocks. Chet looks at the black clock on the wall. Next, they stop at the Snack Shack for lunch. They split fish sticks and chips. “What do you want to do next?” asks Chet. “We can walk to the book shop,” says Trish. Chet picks a book on shells and Trish goes with a book on trucks. Trish and Chet sit on a bench with their books. What fun it is to shop at the mall with a pal!",Digraphs Review 1,14,ufli
The Test,"“We have a math test!” said Miss Phan. “I had the book with me, but I did not look at it!” I tell Cass. “You are a whiz! You will do well!” Cass says as she whacks me on the back with a grin. I shrug at Cass. “I will have to do the test on a whim!” Miss Phan drops the test on the desk and says, “Do not talk when you have a test.” I grab the test and look at it. I see a graph. I see which box I should check. I can see what I must do next. All in all, I should do well. I am a whiz at math. Cass said so!","wh /w/, ph /f/",12,ufli
Ping-Pong,"Bing is a big fan of Ping-Pong. He brings a Ping-Pong set to hang with Cliff. Bing swung at the Ping-Pong ball. He did not miss. He hit the ball with a whack. Cliff did not have that luck. Cliff swung at the ball, but it was a swing and a miss. Bing has a tip for Cliff, “you should pull your hand back when you swing.” Cliff pulls his hand back. He hits the ball, but it goes long. The ball hits the wall with a crash. “I can swing a golf club, but I cannot swing this thing!” said Cliff. “Then let’s golf!” says Bing.",ng /ŋ/,12,ufli
The Prank,"Link sees Gronk’s cup of milk on his desk. Link thinks, “I want to pull a prank on Gronk.” So Link adds a bit of broth to Gronk’s cup. When Gronk gets back to his desk he drinks a big gulp from his cup. Gronk blinks. He looks a bit pink. “This milk stinks!” he thinks. Link winks at Gronk. “What did you do, Link?” yells Gronk. “It’s a broth milk mix,” says Link as he cracks up! Gronk huffs then cracks a grin. “I could be mad but that was a fun prank.” “Thanks!” says Link, “let me get your cup, I will grab you a fresh drink. No broth!”",ng /ŋ/ (as in nk),12,ufli
Thrift Thrills,"Rich wants to shop at the mall. Rich picks up the phone to call his mom. “Mom, can we go to the mall?”, asks Rich. “Yes, I think we can go to the mall and thrift for stuff!”, said his mom. “What is thrift?”, asks Rich. “We can shop for lots of things but not spend lots of funds!”, said Mom. “That would be fun!” said Rich. His mom picks him up at home and they go to the mall. They walk into the thrift spot. They see a stack of pants and a rack of belts. Rich asks his mom, “Do you want this?”. His mom nods, “Yes! Thank you, Rich!”. Rich and his mom fill up the bags with the things they thrift. “I did not think we could get this much!”, said Rich. “You can when you thrift!” said Mom. “It is a thrill to get a lot of stuff!”, said Rich.",Digraphs Review 2,17,ufli
