title,story,phonics_focus,sentence_count,source,menon_hiebert_level,present_patterns,target_phonics,present_phonics_summary
My Fun Family,"Mom has a big red bag.  
Dad can fix the jam lid.  
My pup runs to get it.","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
My Big Family,"Mom and Dad sit with me as we pet our big, red dog.  
My little sis jumps up to hug Gran, who has a big grin.  
We all clap when Pop gets us a fun gift—a soft quilt!","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,3,"digraph, blend, vowel_team, l_controlled, multisyllabic","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
My Mom and Dad,"Mom has a cat.  
Dad has a dog.  
The cat and dog nap.","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,2,blend,basic single-syllable words,basic single-syllable words
My Fun Fam,"Mom hugs me.  
Dad has a big hat.  
The dog naps on the mat.","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
The Big Red Van,"Dad can pack the big red van with bags and mats.  
Mom and Sam grab the pup and hop in fast.  
The van hums as it bumps past the pond to Gram's!","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,3,"digraph, blend","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
My Big Red Dog,"The big dog can run.  
The cat can sit on top.  
I see the sun on the map.","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,2,vowel_team,basic single-syllable words,basic single-syllable words
My Fun Family,"Mom has a big red cat.  
Dad and the dog run in the sun.  
I sit on top of the map with my leg up!","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,2,"digraph, blend",basic single-syllable words,basic single-syllable words
Fun with My Family,"Mom and Dad let the big red dog sit on the rug.  
My little cat can run to the top of the map stand.  
We hop and jog in the hot sun, then rest our legs!","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,3,"digraph, blend, multisyllabic",consonant blends,consonant blends
The Fish and the Whale,"The fish has a shop.  
The whale can swim fast.  
When will the fish chat?  
That is a big shell!","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,4,"digraph, blend, final_e, l_controlled","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
Chad and the Fish,"Chad has a fish shop with lots of fish.  
The fish swim fast when Chad taps the tank.  
""What fish is that?"" asks his pal Beth.  
Chad thinks the red fish is the best!","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,3,"digraph, blend, l_controlled","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
Chad and the Whale,"Chad the chipmunk shops for fish at the shore when the sun is hot.  
He thinks that the shells and shiny rocks will make his den look rich.  
""What is that big splash?"" Chad shouts as he spots a whale in the waves.  
The whale shows Chad how to flip and splash, which makes him cheer with joy!","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant digraphs, consonant blends, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs"
Frog and Crab,"The frog can swim fast.  
The crab has a black shell.  
They play in the green grass.  
The frog gives a big smile.","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, vowel teams"
Frog and Crab Play,"The frog can swim fast in the green pond.  
A crab will skip on the sand with a smile.  
The twin ducks stop to drink from the stream.  
Let’s play and try to spot them all!","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team, l_controlled","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, vowel teams"
The Brave Frog and the Crab,"The frog likes to swim in the green pond and jump from twig to twig.  
A crab with black claws cries when it gets stuck in a small crack.  
The frog is glad to help and tries to free the crab with a strong push.  
They play in the clean water and smile as the sun starts to set.","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, consonant digraphs, vowel teams","consonant digraphs, consonant blends, vowel teams"
Pete the Snake,"Pete can make a home.  
He will take a nap.  
He likes the same rock.  
I hope he wakes in time!","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"digraph, final_e",final-e words,final-e words
Jake and the Snake,"Jake can make a home for the snake.  
The snake will take a nap in the shade.  
Jake hopes the snake will like its new spot.  
It is time to use the same box again!","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","final-e words, consonant blends","consonant blends, final-e words"
Jake the Snake's Big Day,"Jake the snake can make a home in the same old log.  
He likes to take his time and slide up the wide slope.  
At dusk, he hopes to use his nose to find a tasty bite.  
When the moon shines, Jake rests at home with a smile on his face.","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, multisyllabic","final-e words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words"
The Singing Skunk,"The skunk can sing.  
It sits on a pink bank.  
The song is long.  
I think it is fun!","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, blend",consonant digraphs,consonant digraphs
The Singing Skunk,"The skunk can sing a long song.  
It sits on a pink rock by the bank.  
A duck with a ring will think and wink.  
The skunk and duck sing ""Ding dong!""","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, blend","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
The Singing Skunk,"A skunk with a pink ring on its tail likes to sing a long song by the bank.  
The skunk will wink and think before it lifts its tail with a swing.  
A king snake slinks by but does not blink at the singing skunk.  
At dusk, the skunk stops to drink and rests on a strong log.","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","consonant blends, consonant digraphs, final-e words","consonant digraphs, consonant blends, final-e words"
Fun with Animals,"The cat naps on the mat. 
A goat eats hay in the sun. 
The snake slides on a log.   
A turtle hides in a puddle.","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,4,"blend, final_e, vowel_team, r_controlled, multisyllabic","vowel teams, consonant blends","consonant blends, vowel teams"
Fun at the Zoo,"The cat naps in the sun on a flat rock.  
A huge ape eats ripe grapes with glee. 
The bird in the tree has a red wing. 
Go see the zebra run so fast!","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams"
The Brave Little Hare,"The hare hid in a log as the storm raged outside.  
She made a safe nest with soft  leaves and twigs.  
When the sun rose, she spied a purple flower by the stream.  
The hare hopped home, happy and brave once more.","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","consonant blends, final-e words, r-controlled vowels","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
Pets and Boxes,"The cats and dogs played.  
The cats jumped on boxes.  
The dogs wished for treats.  
Mom wanted happy pets.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,3,"digraph, blend, vowel_team, r_controlled, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant blends, vowel teams, multisyllabic words"
Pets and Their Tricks,"The cats and dogs played in the yard.  
The pups jumped over small boxes.  
Mom wished for less messes.  
The pets wanted more fun games.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","multisyllabic words, r-controlled vowels, consonant blends","consonant blends, r-controlled vowels, multisyllabic words"
Pets and Their Wishes,"The cats and dogs played in the yard as the sun dipped behind the trees.  
The cats wished for soft beds while the dogs wanted big bones to chew.  
They jumped over boxes and raced past bushes with happy barks and meows.  
When dinner time came, all the pets rushed inside and rested on their cozy mats.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
My Fun Family,"Mom shops for fish.  
Dad sits in the chair.  
Beth thinks that is fun.  
When will we eat?","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,3,"digraph, vowel_team, r_controlled","consonant digraphs, r-controlled vowels, vowel teams","consonant digraphs, vowel teams, r-controlled vowels"
The Ship Trip,"Mom and Dad shop for fish at the dock.  
When will the ship set off with them?  
Chad thinks that the waves are fun!  
The wharf has chairs for us to sit.","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,3,"digraph, blend, vowel_team, r_controlled","consonant digraphs, r-controlled vowels","consonant digraphs, r-controlled vowels"
The Big Day at Church,"When we go to church, Mom sits in the big red chair while Dad shakes hands with friends.  
After that, we shop at the fish market and pick fresh shrimp for lunch.  
""What should we think about for dinner?"" asks my brother as we drive home.  
The whole family cheers when Dad says we can have chicken with thick bread!","['ch: chair, church', 'sh: shop, fish', 'th: that, think', 'wh: when, what']",4,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","consonant digraphs, r-controlled vowels, multisyllabic words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
My Fun Family,"Dad has a black truck.  
Mom bakes sweet bread.  
We play in the green grass.  
My twin is glad!","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,5,"digraph, blend, vowel_team","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, vowel teams"
Fun with My Family,"My twin and I skip to the green tree.  
Dad will grill sweet corn at noon.  
Mom has a small flag for our play.  
We stop to smile and clap with joy.","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong","consonant blends, vowel teams, r-controlled vowels","consonant blends, vowel teams, r-controlled vowels"
The Glad Family,"Glen and Grace grab a glass of milk and play with their twin pups in the green grass.  
Mom prints a pretty flag while Dad drives to school to pick up their big brother.  
The small pups snack on crumbs and sleep by the steps after a long day.  
At night, the whole family sits by the tree and starts to smile as they swing under the stars.","['bl: black, blue', 'br: brown, bread', 'cl: class, clean', 'cr: crab, cry', 'dr: drop, drink', 'fl: flag, fly', 'fr: from, frog', 'gl: glad, glass', 'gr: green, grow', 'pl: play, please', 'pr: pretty, print', 'sc: scare, school', 'sk: skip, sky', 'sl: slow, sleep', 'sm: small, smile', 'sn: snow, snack', 'sp: spin, sport', 'st: stop, start', 'sw: swim, sweet', 'tr: tree, try', 'tw: twelve, twin']",4,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, consonant digraphs, vowel teams","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
My Happy Home,"I like to make a cake.  
Mom and Dad take me home.  
We hope to use the same pan.  
It is time to eat!","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"blend, final_e, vowel_team",final-e words,final-e words
A Fun Time at Home,"Mom will make a cake at home.  
Dad can take the same time to help.  
I like to use the big bowl.  
We hope it will taste great!","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"blend, final_e",final-e words,final-e words
Kate's Big Day,"Kate will make a cake with Mom at home and take it to Grandma's house.  
She likes to use pink icing and hopes it will taste the same as last time.  
At five, Kate and Mom slide the cake in to bake, then set the timer just in time.  
When the cake is done, Kate's whole family will smile and say, ""It looks great!""","['make, take, like, home, use, hope, same, time']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","final-e words, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, multisyllabic words"
The Singing Family,"Mom has a pink ring.  
Dad can sing a long song.  
I think Hank has a bank.  
We are a happy gang!","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, multisyllabic",consonant digraphs,consonant digraphs
The Singing Ring,"Mom has a pink ring that can sing.  
Dad will think and wink at the bank.  
The long song makes us all clang.  
Let’s sing and thank our family!","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, blend, l_controlled, multisyllabic","consonant digraphs, consonant blends","consonant digraphs, consonant blends"
The Singing Siblings,"Hank and Ling sing a long song as they swing on the pink swing.  
Mom will bring a ring to the bank after she stops to think.  
Dad hung a strong string of lights that blink and wink at night.  
The whole family clinks their drinks and thanks King for the fun evening!","['ng: ring, sing, long', 'nk: bank, think, pink']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","consonant digraphs, consonant blends, multisyllabic words","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
My Big Family,"Mom has a red van 
Dad likes to bake
We see the green tree
The kids play with a puzzle","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, multisyllabic","vowel teams, consonant blends","consonant blends, vowel teams"
My Fun Family,"My dad rides a bike with me.
Mom bakes a sweet cake.
My sister curls her hair.  
We play as a team.","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,5,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","r-controlled vowels, vowel teams, final-e words","consonant blends, final-e words, vowel teams, r-controlled vowels"
My Big Family,"My dad and mom take me to the lake where we ride in a little boat. 
We see green trees and hear birds chirp as the sun shines bright. 
My big brother likes to hike up steep hills while I skip stones.
At night, we sit by the fire and share fun tales before bed.","['closed', 'open', 'magic e', 'vowel team', 'r-controlled', 'consonant-le']",4,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, vowel teams, final-e words","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
My Happy Family,"Mom hugs the cats and dogs.  
Dad fixes the boxes with wishes.  
We jumped and played in the yard.  
Grandma wanted to bake us treats.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,4,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","multisyllabic words, consonant blends, vowel teams","consonant digraphs, consonant blends, vowel teams, multisyllabic words"
My Fun Family,"Mom packed boxes of snacks for our trip.  
The cats and dogs played in the yard.  
Dad jumped when he saw the big frog.  
I wished for more days with my family.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,3,"digraph, blend, final_e, vowel_team, r_controlled, diphthong, multisyllabic","consonant blends, consonant digraphs, r-controlled vowels","consonant digraphs, consonant blends, vowel teams, r-controlled vowels"
Pets and Playtime,"Mom packed two boxes with treats for our cats and dogs.  
Dad wished for sunny days so we played in the yard.  
The dogs jumped and barked when the kids raced past them.  
I wanted to help feed the pets, so I grabbed their dishes.","['cats, dogs', 'boxes, wishes', 'jumped, played, wanted']",4,HuggingFace,5,"digraph, blend, vowel_team, r_controlled, multisyllabic","consonant blends, consonant digraphs, multisyllabic words","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
The Blue Jay and the Mouse,"The blue jay can see a tree.  
A small mouse eats in the house.  
The boy has a toy boat.  
Look at the rain on the train!  
The jay and mouse play all day.","['ai: rain, train', 'ay: play, say', 'ea: eat, read', 'ee: tree, see', 'oa: boat, coat', 'ow: show, know', 'ou: house, mouse', 'oy: boy, toy', 'oo: book, look', 'ue: blue, true']",5,HuggingFace,7,"blend, final_e, vowel_team, l_controlled, diphthong","vowel teams, consonant blends, diphthongs","consonant blends, vowel teams, l-controlled vowels, diphthongs"
A Day at the Zoo,"The boy and his toy boat float near the blue seal pool.  
We see three green parrots eat seeds on a tree.  
A gray mouse hides in its house made of hay.  
The rain stops, so the goats play in the wet grass.  
At noon, we look at a show with a smart crow.","['ai: rain, train', 'ay: play, say', 'ea: eat, read', 'ee: tree, see', 'oa: boat, coat', 'ow: show, know', 'ou: house, mouse', 'oy: boy, toy', 'oo: book, look', 'ue: blue, true']",5,HuggingFace,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","vowel teams, consonant blends, diphthongs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs"
The Brave Blue Jay,"The blue jay flew high to see if rain would come, but the sky stayed true and bright.  
A small mouse in the house peeked out to play near the old oak tree.  
The boy with his toy boat floated it on the lake, hoping to show his friends.  
Two goats in coats tried to eat the green leaves near the stream.  
At noon, the sleepy owl took a quick look from its branch before closing its eyes.","['ai: rain, train', 'ay: play, say', 'ea: eat, read', 'ee: tree, see', 'oa: boat, coat', 'ow: show, know', 'ou: house, mouse', 'oy: boy, toy', 'oo: book, look', 'ue: blue, true']",5,HuggingFace,5,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","vowel teams, consonant blends, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
The Farm Animals,"The farmer feeds the horse and cow.  
A bird sits on the barn roof.  
The girl gives water to the dog.  
The cat naps in the short grass.  
A turtle takes a turn in the sun.","['ar: car, start', 'er: her, water', 'ir: girl, bird', 'or: for, short', 'ur: turn, hurt']",5,HuggingFace,6,"digraph, blend, vowel_team, r_controlled, diphthong, multisyllabic","r-controlled vowels, multisyllabic words, vowel teams","consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
The Farm and the Forest,"A girl and her bird start to walk toward the farm.  
The short horse turns to munch on fresh green grass.  
A hurt fox curls up near a big red barn.  
The farmer gives water to the thirsty cows.  
The sun sets, and the stars sparkle over the quiet farm.","['ar: car, start', 'er: her, water', 'ir: girl, bird', 'or: for, short', 'ur: turn, hurt']",5,HuggingFace,6,"digraph, blend, vowel_team, r_controlled, diphthong, multisyllabic","r-controlled vowels, consonant blends, multisyllabic words","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, diphthongs, multisyllabic words"
The Farm Adventure,"A girl and her bird start their walk to the farm at sunrise.  
They turn past the barn to see a horse munching on short grass.  
Near the water, a large carp swirls in circles with a splash.  
The girl hurries to warn the farmer when she spots a hurt lamb.  
After her kind act, the farmer gives her a jar of fresh honey for being so smart!","['ar: car, start', 'er: her, water', 'ir: girl, bird', 'or: for, short', 'ur: turn, hurt']",5,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, multisyllabic","r-controlled vowels, consonant blends, multisyllabic words","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
Happy the Rabbit,"Happy the rabbit is running fast.  
His sister is better at hopping.  
Be careful near the table, Happy!  
The happy rabbit eats a carrot.  
His sister finds a better snack.","['happy, better, running, careful, table, sister']",5,HuggingFace,6,"digraph, blend, vowel_team, r_controlled, multisyllabic","multisyllabic words, r-controlled vowels, consonant digraphs","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
Happy the Careful Rabbit,"Happy the rabbit is running to her sister.  
She hops better when she is careful on the table.  
Her sister helps her find the happy spot.  
They eat carrots and sit by the little table.  
Running fast makes them both feel better!","['happy, better, running, careful, table, sister']",5,HuggingFace,6,"digraph, blend, vowel_team, r_controlled, multisyllabic","multisyllabic words, r-controlled vowels, consonant digraphs","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
The Happy Rabbit and Her Sister,"The happy rabbit was running faster than her sister through the tall grass.  
""I can hop better if I'm careful with my big jumps,"" said the little rabbit.  
The sister rabbit placed some carrots on the old wooden table for their snack.  
They were both careful not to wake the sleeping fox under the shady tree.  
After their fun race, the happy rabbits rested together in the warm sunshine.","['happy, better, running, careful, table, sister']",5,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","multisyllabic words, r-controlled vowels, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, multisyllabic words"
The Bridge at Night,"The cat can catch a fish.  
The dog will watch the bridge.  
A judge sits on the edge.  
The light shines at night.  
The fox jumps in the light.","['tch: catch, watch', 'dge: bridge, judge', 'igh: light, night']",5,HuggingFace,3,"digraph, blend, vowel_team","consonant digraphs, vowel teams","consonant digraphs, vowel teams"
The Night Watch,"At night, the cat will watch for mice near the bridge.  
A small hedgehog can catch bugs in the light.  
The judge frog sits on a log by the edge of the pond.  
Bats fly high in the sky when the moon is bright.  
The dog will dodge the ducks as they march past the ditch.","['tch: catch, watch', 'dge: bridge, judge', 'igh: light, night']",5,HuggingFace,3,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, multisyllabic","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, vowel teams, r-controlled vowels"
The Night Watch,"At night, the wise owl will watch from his perch near the bridge.  
A quick fox might try to catch a small mouse in the pale moonlight.  
The badger will judge if it’s safe to cross the old wooden bridge.  
Fireflies glow with a soft light as they flit through the dark night.  
When the sun rises, the animals dge back to their homes to rest.","['tch: catch, watch', 'dge: bridge, judge', 'igh: light, night']",5,HuggingFace,6,"digraph, blend, final_e, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","consonant blends, vowel teams, consonant digraphs","consonant digraphs, consonant blends, final-e words, vowel teams, r-controlled vowels, l-controlled vowels, diphthongs, multisyllabic words"
Fun at the Zoo,"The fox is running fast.  
The frog is jumping high.  
The pups are playing tag.  
The panda is reading a book.  
The parrot is writing words.","['running, jumping, playing, reading, writing']",5,HuggingFace,3,"digraph, blend, vowel_team, r_controlled, multisyllabic","multisyllabic words, consonant digraphs, vowel teams","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
Fun at the Zoo,"The lion cubs are running fast in the grass.  
The monkeys are jumping from branch to branch.  
The otters are playing in the water.  
The teacher is reading a book about pandas.  
The zookeeper is writing notes about the animals.","['running, jumping, playing, reading, writing']",5,HuggingFace,4,"digraph, blend, vowel_team, r_controlled, l_controlled, diphthong, multisyllabic","multisyllabic words, consonant digraphs, vowel teams","consonant digraphs, consonant blends, vowel teams, r-controlled vowels, multisyllabic words"
