model,prompt_id,generation_id,seed,target_phonics,spec_adherence_score,robustness_score,task_quality_score,consistency_score,spec_adherence_justification,robustness_justification,task_quality_justification,consistency_justification,raw_story_judge_json,raw_consistency_judge_json
base,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",0,2,0,0,"The story uses much above-level vocabulary and complex sentence structures, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or logical errors.",It does not provide accessible practice with diphthongs or consonant digraphs for students at this level.,"Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.","{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentence structures, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or logical errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible practice with diphthongs or consonant digraphs for students at this level.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}"
tuned,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",1,2,1,0,The story is simple and decodable but barely uses diphthongs or consonant digraphs for practice.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice with the target patterns, limiting its instructional value for this phonics focus.",None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is simple and decodable but barely uses diphthongs or consonant digraphs for practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, limiting its instructional value for this phonics focus.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}"
base,final_e_blends_1,1,1001,"final-e words, consonant blends",0,1,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.",The story is mostly coherent but is truncated and ends abruptly.,It does not provide accessible or focused practice with final-e words and consonant blends for beginning readers.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends abruptly.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or focused practice with final-e words and consonant blends for beginning readers.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}"
tuned,final_e_blends_1,1,1001,"final-e words, consonant blends",1,1,1,0,The story is mostly decodable but includes above-level words like 'until' and confusing narrative elements.,The story is readable but contains unclear plot points and some logical inconsistencies.,"There is some practice with final-e words and blends, but coverage and clarity are limited.",The three generations show highly inconsistent decodability and readability for the target level.,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but includes above-level words like 'until' and confusing narrative elements.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is readable but contains unclear plot points and some logical inconsistencies.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with final-e words and blends, but coverage and clarity are limited.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}"
base,final_e_blends_1,2,1002,"final-e words, consonant blends",0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or structural errors.",It does not provide accessible practice with final-e words or blends for students at this phonics level.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible practice with final-e words or blends for students at this phonics level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}"
tuned,final_e_blends_1,2,1002,"final-e words, consonant blends",1,2,1,0,The story is decodable but lacks sufficient final-e words and consonant blends for targeted practice.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice of the target patterns, limiting its effectiveness as focused phonics instruction.",The three generations show highly inconsistent decodability and readability for the target level.,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient final-e words and consonant blends for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice of the target patterns, limiting its effectiveness as focused phonics instruction.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}"
base,final_e_blends_1,3,1003,"final-e words, consonant blends",0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or structural errors.",It provides little accessible practice with final-e words or blends due to high-level language throughout.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It provides little accessible practice with final-e words or blends due to high-level language throughout.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}"
tuned,final_e_blends_1,3,1003,"final-e words, consonant blends",1,2,1,0,The story is mostly decodable but includes above-level words like 'animals' and 'playing' that may challenge learners.,"The story is coherent, complete, and free from formatting or structural errors.","There is some practice with target patterns, but coverage is light and not strongly emphasized.",The three generations show highly inconsistent decodability and readability for the target level.,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but includes above-level words like 'animals' and 'playing' that may challenge learners.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or structural errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with target patterns, but coverage is light and not strongly emphasized.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}"
base,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",1,1,1,0,"The story contains significant above-level vocabulary and complex sentences, making it only partly decodable for the target level.","The story is truncated and ends abruptly, with some incomplete sentences and ideas.","Some target patterns appear, but the text is too advanced and inconsistent for effective decodable practice.","All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains significant above-level vocabulary and complex sentences, making it only partly decodable for the target level.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is truncated and ends abruptly, with some incomplete sentences and ideas.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some target patterns appear, but the text is too advanced and inconsistent for effective decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}"
tuned,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",1,2,1,0,"The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.","The story is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the target patterns, limiting its effectiveness as a focused learning text.","None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, limiting its effectiveness as a focused learning text.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}"
base,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",0,1,0,0,"The story uses above-level vocabulary and directly references phonics terms, making it unsuitable as a decodable text.",The story is mostly coherent but ends abruptly and includes meta-language about phonics.,It is not effective for student practice due to explicit phonics discussion and off-level vocabulary.,"All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.","{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses above-level vocabulary and directly references phonics terms, making it unsuitable as a decodable text.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but ends abruptly and includes meta-language about phonics.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not effective for student practice due to explicit phonics discussion and off-level vocabulary.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}"
tuned,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",2,2,1,0,The story is fully decodable at the target level with a natural title and clear narrative.,"The text is coherent, complete, and free from errors or formatting issues.",It is readable but offers limited practice with vowel teams and r-controlled vowels.,"None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.","{""spec_adherence"": {""score"": 2, ""justification"": ""The story is fully decodable at the target level with a natural title and clear narrative.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is coherent, complete, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It is readable but offers limited practice with vowel teams and r-controlled vowels.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}"
base,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1,2,1,0,The story contains above-level vocabulary and complex sentences that make it challenging for decodable-level readers.,"The narrative is coherent, complete, and free from formatting or structural errors.","Some target patterns appear, but advanced words and phrasing limit its effectiveness as decodable practice.","All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains above-level vocabulary and complex sentences that make it challenging for decodable-level readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The narrative is coherent, complete, and free from formatting or structural errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some target patterns appear, but advanced words and phrasing limit its effectiveness as decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}"
tuned,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1,2,1,0,"The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.","The story is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the requested phonics patterns, limiting its instructional effectiveness.","None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the requested phonics patterns, limiting its instructional effectiveness.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}"
base,r_controlled_blends_1,1,1001,"r-controlled vowels, consonant blends",0,1,0,0,"The story uses above-level vocabulary and directly discusses phonics patterns, making it unsuitable as a decodable text.",The story is coherent and complete but includes explicit phonics explanations inappropriate for student reading.,It is ineffective for student practice due to meta-language and inaccessible vocabulary for the target level.,All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses above-level vocabulary and directly discusses phonics patterns, making it unsuitable as a decodable text.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is coherent and complete but includes explicit phonics explanations inappropriate for student reading.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is ineffective for student practice due to meta-language and inaccessible vocabulary for the target level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.""}}"
tuned,r_controlled_blends_1,1,1001,"r-controlled vowels, consonant blends",2,2,2,1,"The story uses simple, decodable words and stays within the target phonics patterns.","The text is coherent, complete, and free from errors or formatting issues.","It provides clear, accessible practice with r-controlled vowels and consonant blends for early readers.","All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.","{""spec_adherence"": {""score"": 2, ""justification"": ""The story uses simple, decodable words and stays within the target phonics patterns.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is coherent, complete, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 2, ""justification"": ""It provides clear, accessible practice with r-controlled vowels and consonant blends for early readers.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.""}}"
base,r_controlled_blends_1,2,1002,"r-controlled vowels, consonant blends",0,1,0,0,"The story uses above-level vocabulary and complex sentences, making it unreadable for early decodable readers.",The story is mostly coherent but ends abruptly with a stray character and some unclear details.,It does not provide accessible or effective practice for students at the target phonics level.,All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but ends abruptly with a stray character and some unclear details.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or effective practice for students at the target phonics level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.""}}"
tuned,r_controlled_blends_1,2,1002,"r-controlled vowels, consonant blends",2,2,2,1,"The story uses simple, decodable words and stays within the target phonics patterns.","The narrative is coherent, complete, and free from errors or formatting issues.","It provides clear, accessible practice with r-controlled vowels and consonant blends for early readers.","All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.","{""spec_adherence"": {""score"": 2, ""justification"": ""The story uses simple, decodable words and stays within the target phonics patterns.""}, ""robustness"": {""score"": 2, ""justification"": ""The narrative is coherent, complete, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 2, ""justification"": ""It provides clear, accessible practice with r-controlled vowels and consonant blends for early readers.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.""}}"
base,r_controlled_blends_1,3,1003,"r-controlled vowels, consonant blends",0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or structural errors.",It is not suitable for phonics practice due to advanced words and sentence structures beyond the target level.,All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not suitable for phonics practice due to advanced words and sentence structures beyond the target level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on r-controlled vowels and consonant blends.""}}"
tuned,r_controlled_blends_1,3,1003,"r-controlled vowels, consonant blends",1,2,1,1,The story contains above-level vocabulary and complex sentences that make it hard for early decodable readers.,"The story is coherent, complete, and free of formatting or logical errors.","Some target patterns appear, but inconsistent focus and difficult words limit its effectiveness for practice.","All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains above-level vocabulary and complex sentences that make it hard for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some target patterns appear, but inconsistent focus and difficult words limit its effectiveness for practice.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use r-controlled vowels and consonant blends, and each story is generally readable.""}}"
base,short_vowels_1,1,1001,short-vowel words,0,2,0,0,"The story uses many above-level words and patterns far beyond simple short-vowel words, making it unreadable for beginners.","The story is coherent, complete, and free of formatting or structural errors.",It does not provide effective short-vowel word practice due to excessive use of complex vocabulary and sentence structures.,All three generations fail to consistently produce in-level decodable text focused on short-vowel words.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses many above-level words and patterns far beyond simple short-vowel words, making it unreadable for beginners.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide effective short-vowel word practice due to excessive use of complex vocabulary and sentence structures.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on short-vowel words.""}}"
tuned,short_vowels_1,1,1001,short-vowel words,2,2,2,0,All words are decodable at the short-vowel level and the story avoids above-level vocabulary.,"The story is clean, coherent, and free of errors or formatting issues.","It provides clear, simple practice with short-vowel words in a readable narrative.",The generations are highly inconsistent in decodability for short-vowel words.,"{""spec_adherence"": {""score"": 2, ""justification"": ""All words are decodable at the short-vowel level and the story avoids above-level vocabulary.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 2, ""justification"": ""It provides clear, simple practice with short-vowel words in a readable narrative.""}}","{""consistency"": {""score"": 0, ""justification"": ""The generations are highly inconsistent in decodability for short-vowel words.""}}"
base,short_vowels_1,2,1002,short-vowel words,0,1,0,0,The story uses extensive above-level vocabulary and sentence structures far beyond short-vowel decodable text.,The story is mostly coherent but is truncated and incomplete at the end.,It does not provide accessible or focused short-vowel practice for early readers.,All three generations fail to consistently produce in-level decodable text focused on short-vowel words.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses extensive above-level vocabulary and sentence structures far beyond short-vowel decodable text.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and incomplete at the end.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or focused short-vowel practice for early readers.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on short-vowel words.""}}"
tuned,short_vowels_1,2,1002,short-vowel words,1,2,1,0,"Contains above-level words like 'playing,' 'jumped,' and 'straw,' making it partly decodable but not fully on-level.","The story is coherent, complete, and free from formatting or logical errors.","Some short-vowel words are present, but above-level vocabulary limits its effectiveness for targeted practice.",The generations are highly inconsistent in decodability for short-vowel words.,"{""spec_adherence"": {""score"": 1, ""justification"": ""Contains above-level words like 'playing,' 'jumped,' and 'straw,' making it partly decodable but not fully on-level.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some short-vowel words are present, but above-level vocabulary limits its effectiveness for targeted practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""The generations are highly inconsistent in decodability for short-vowel words.""}}"
