model,prompt_id,generation_id,seed,target_phonics,target_phonics_coverage,off_target_phonics_rate,on_level_rate,weighted_above_level_rate,title_present,sentence_count,no_duplicate_sentences,has_duplicate_sentences,complete_output,incomplete_output,no_phonics_leakage,phonics_leakage,word_count,spec_adherence_score,robustness_score,task_quality_score,consistency_score,spec_adherence_justification,robustness_justification,task_quality_justification,consistency_justification,detected_title,duplicate_sentence_norms,incomplete_reasons,phonics_leakage_terms,above_level_words,permitted_ceiling_stage,raw_story_judge_json,raw_consistency_judge_json,prompt,story
base,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",1.0,0.2599,0.7401,0.2599,1,13,1,0,1,0,1,0,177,0,2,0,0,"The story uses much above-level vocabulary and complex sentence structures, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or logical errors.",It does not provide accessible practice with diphthongs or consonant digraphs for students at this level.,"Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.",The Magic Treehouse Adventure,,,,"adventure, around, became, becoming, before, bigger, colorful, even, every, everyone, flowers, forever, garden, grander, growing, happened, happening, happier, inside, little, magic, magical, morning, something, special, started, stronger, suddenly, taller, treehouse, understand, upon, very, wooden",6,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentence structures, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or logical errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible practice with diphthongs or consonant digraphs for students at this level.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Magic Treehouse Adventure**

Once upon a time, there lived a small wooden house called The Magic Treehouse. It had a big tree and it was full of toys and colorful things. Each day, the house had a special job — the trees would plant flowers to make the garden bloom. But one day, the tree suddenly started to grow taller than before, and the whole house looked grander and more magical.

Then one morning, a boy named Max came to The Magic TreeHOUSE. He saw something very strange on the tree — it was growing up. And he could see that the magic was inside. So he asked everyone else around the house if they knew how this happened. They all said they didn't know what was happening.

But then, one by one, they started to understand. The trees were becoming stronger, and they couldn’t stop growing. And so the Magic Treehouse became even bigger, and the world got a little happier.

Now, every child knows that the magic is still here, and the treehouse stays magical forever. 🌟✨"
tuned,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",0.125,0.093,0.907,0.093,1,5,1,0,1,0,1,0,43,1,2,1,0,The story is simple and decodable but barely uses diphthongs or consonant digraphs for practice.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice with the target patterns, limiting its instructional value for this phonics focus.",None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,A Trip to the Zoo,,,,"above, animals, monkey, title",6,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is simple and decodable but barely uses diphthongs or consonant digraphs for practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, limiting its instructional value for this phonics focus.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: A Trip to the Zoo

Dad and Mom went on a trip to the zoo.  
We met lots of animals!  
A big cat sat next to us.  
A monkey looked at us from above.  
There was a lot of fun and joy!"
base,final_e_blends_1,1,1001,"final-e words, consonant blends",1.0,0.3798,0.6202,1.125,1,15,1,0,0,1,1,0,208,0,1,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.",The story is mostly coherent but is truncated and ends abruptly.,It does not provide accessible or focused practice with final-e words and consonant blends for beginning readers.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,The Happy Garden of Lila,,no_terminal_punctuation,,"about, adventure, after, all, books, boy, called, cherry, colorful, day, decided, different, each, echoes, ended, every, everyday, first, flowers, found, friendly, friends, fruit, fruits, garden, girl, grumble, happy, her, hidden, interesting, joy, kindness, knew, leaving, lila, magic, magical, many, more, new, now, play, princess, second, shiny, small, soon, squirrel, stories, tail, tale, third, together, took, tree, trees, very, visit, walked, wanted, within, year, young",3,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends abruptly.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or focused practice with final-e words and consonant blends for beginning readers.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Garden of Lila**

Lila was a young girl who lived in a small garden. She loved to play with her friends and her dog, Max. One day, they decided to go on an adventure together. They wanted to visit a place called ""The Grove of Echoes."" There, they would find old books, shiny stones, and colorful flowers.

As they walked through the grove, they met a wise old man named Grumble. He told them about a magical tree that could bring new stories to life. The tree had many fruits, each one different every year. But the most interesting fruit was a cherry that said, “I am happy.” 

Max got a cherry, and soon after, they found more stories hidden within the trees. Each tree told a tale from their lives. The first one was a cat with a big tail, but now it's a friendly squirrel. The second one was a brave boy who saved his friend, and the third one was a princess who gave back what she took.

They all came back to their own garden, where Lila felt very happy. Now she knew that kindness brings joy, and that magic can be found in everyday things. And so the adventure ended, leaving"
tuned,final_e_blends_1,1,1001,"final-e words, consonant blends",0.875,0.1829,0.8171,0.6829,1,11,1,0,1,0,1,0,82,1,1,1,0,The story is mostly decodable but includes above-level words like 'until' and confusing narrative elements.,The story is readable but contains unclear plot points and some logical inconsistencies.,"There is some practice with final-e words and blends, but coverage and clarity are limited.",The three generations show highly inconsistent decodability and readability for the target level.,The Bike,,,,"happy, into, milo, riding, saw, sees, title, until",3,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but includes above-level words like 'until' and confusing narrative elements.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is readable but contains unclear plot points and some logical inconsistencies.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with final-e words and blends, but coverage and clarity are limited.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Bike

Milo is riding his bike to school. He saw a red bike next to him. Milo stops and sees it is a dog. “I will ride my bike to the dog,” said Milo. Milo gets on his bike. He rides fast until he spots a cat. Then he jumps into the dog’s lap. Milo does not get off his bike. Milo sits on the dog’s side of the bike. Milo is happy! Milo rides his bike back to school."
base,final_e_blends_1,2,1002,"final-e words, consonant blends",1.0,0.4341,0.5659,1.3512,1,14,1,0,1,0,1,0,205,0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or structural errors.",It does not provide accessible practice with final-e words or blends for students at this phonics level.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,The Happy Forest Adventure,,,,"about, adventure, all, also, animals, around, beauty, because, bigger, bird, book, called, creature, curious, day, discover, each, ended, especially, every, exploring, followed, for, forest, found, group, happening, happy, heard, hidden, himself, knew, learn, learned, little, looked, magic, many, maple, message, muffy, nature, new, noticed, now, oak, out, owl, part, returned, saw, see, showed, simple, small, something, sound, story, titled, together, tree, turned, walked, wonders, woods, world, years, young",3,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible practice with final-e words or blends for students at this phonics level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Forest Adventure**

In a small forest called Maple Grove, there lived a curious little fox named Muffy. One day, while exploring the woods, Muffy noticed a new creature – a wise old owl who had been on the tree for many years.

The owl said, “I see you have a friend here, Muffy. The forest is full of wonders to discover.” With that, Muffy followed the owl to a hidden path where a long, stone bridge met a big oak tree. As they walked up, they heard a soft sound. It was a song from a young bird, who had just learned to fly.

“Now I can fly,” the bird said. Then, when it turned, a group of animals came together. They were all curious about nature and each could tell what was happening around them.

Muffy was especially happy because he saw many things that showed the beauty of the world. He also felt strong and loved to learn.

As the day ended, Muffy returned home and found a new book titled *The Magic Forest*. Now every time Muffy looked out, he knew he was part of something bigger than himself.

The story ends with a simple message: *In every place, magic lives.*"
tuned,final_e_blends_1,2,1002,"final-e words, consonant blends",0.375,0.1304,0.8696,0.2826,1,6,1,0,1,0,1,0,46,1,2,1,0,The story is decodable but lacks sufficient final-e words and consonant blends for targeted practice.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice of the target patterns, limiting its effectiveness as focused phonics instruction.",The three generations show highly inconsistent decodability and readability for the target level.,The Big Red Bus,,,,"day, every, seats, street, title, work",3,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient final-e words and consonant blends for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice of the target patterns, limiting its effectiveness as focused phonics instruction.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Big Red Bus

Mom and Dad ride to work every day by bus.  
A big red bus is on the street.  
The bus has lots of kids!  
The kids sit on the seats.  
What can we do?  
We get on the bus and go!"
base,final_e_blends_1,3,1003,"final-e words, consonant blends",1.0,0.3741,0.6259,1.0816,1,9,1,0,1,0,1,0,147,0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.","The story is coherent, complete, and free of formatting or structural errors.",It provides little accessible practice with final-e words or blends due to high-level language throughout.,All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.,The Happy Forest Adventure,,,,"adventure, after, all, animals, apples, bananas, bear, continued, day, decided, energy, favorite, food, foods, for, forest, found, friendship, fur, green, happy, heard, heart, high, himself, how, joy, looked, loud, now, prosper, saw, shared, shiny, small, sound, standing, stayed, tall, together, trees, wonder, young",3,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It provides little accessible practice with final-e words or blends due to high-level language throughout.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on final-e words and consonant blends.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Forest Adventure**

In a small forest where the trees were all tall and green, there lived a young fox named Max. One day, Max heard a sound so loud it made his heart jump. He ran to the edge of the forest and saw a big white bear standing on a high hill. The bear was full of energy and had a shiny red fur.

Max thought, “I wonder if I can help this bear.” He decided to go with the bear and helped him find food for himself. Together they found a big pile of apples, bananas, and nuts.

Now, when Max looked back, he saw the bear still happy and the forest full of wild animals. They shared their favorite foods and stayed together long after the bear left.

That's how the forest continued to grow and prosper, filled with joy and friendship. 🌟"
tuned,final_e_blends_1,3,1003,"final-e words, consonant blends",0.875,0.2,0.8,0.5667,1,10,1,0,1,0,1,0,90,1,2,1,0,The story is mostly decodable but includes above-level words like 'animals' and 'playing' that may challenge learners.,"The story is coherent, complete, and free from formatting or structural errors.","There is some practice with target patterns, but coverage is light and not strongly emphasized.",The three generations show highly inconsistent decodability and readability for the target level.,A Trip to the Farm,,,,"about, also, animals, farm, for, going, her, learn, many, out, playing, see, sister, title, too",3,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but includes above-level words like 'animals' and 'playing' that may challenge learners.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or structural errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with target patterns, but coverage is light and not strongly emphasized.""}}","{""consistency"": {""score"": 0, ""justification"": ""The three generations show highly inconsistent decodability and readability for the target level.""}}","Write a decodable story.

Emphasize these phonics patterns:
- final-e words
- consonant blends

Here are some example words containing these patterns:
- final-e words: cake, bike, home, smile
- consonant blends: stop, frog, black, plant

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: A Trip to the Farm

Dad has made lots of cakes! I have so many cakes, too!
My mom will make them when it is time for me to go on her trip to the farm.
We will see what we can find out about animals and plants at the farm. We also
will have fun playing games at the farm.
I am going to be a good kid, Dad. My sister will be there to help us. The kids
and I will learn so much from this trip!"
base,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,0.0,1,14,1,0,1,0,1,0,202,1,1,1,0,"The story contains significant above-level vocabulary and complex sentences, making it only partly decodable for the target level.","The story is truncated and ends abruptly, with some incomplete sentences and ideas.","Some target patterns appear, but the text is too advanced and inconsistent for effective decodable practice.","All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.",The Happy Garden of Lila,,,,,7,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains significant above-level vocabulary and complex sentences, making it only partly decodable for the target level.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is truncated and ends abruptly, with some incomplete sentences and ideas.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some target patterns appear, but the text is too advanced and inconsistent for effective decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Garden of Lila**

In a small village, there lived a girl named Lila who loved to read books and learn new things. One day, she found a book called *The Magic Treehouse* which told her about a forest full of animals and plants. The trees had big leaves, and the flowers were colorful. She learned that the forest was home for many different creatures—birds, squirrels, rabbits, and more.

One morning, Lila discovered a special plant called *Corn*. This plant had a tall stalk and a sweet flavor. It also had a lot of seeds inside, so it could grow a garden. Lila thought this was very fun.

Then one day, Lila met a wise old man who said something like, ""You can be curious and learn from everyone."" He gave her a small box with a map and a basket filled with food. With this, Lila became a part of the garden.

As they played together, Lila learned to count the number of letters and sound words. She used the word **rain**, saying how the trees sang when the weather changed. She noticed that the word **family** was important because it showed people coming together. And the word **bird**"
tuned,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",0.8333,0.0,1.0,0.0,1,6,1,0,1,0,1,0,35,1,2,1,0,"The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.","The story is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the target patterns, limiting its effectiveness as a focused learning text.","None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.",The Game,,,,,7,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, limiting its effectiveness as a focused learning text.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Game

Milo is playing a game. He has to get 10 points. Milo got two of his first three shots right. Then he had one shot left. He took it for himself. Milo won!"
base,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,0.0,1,13,1,0,0,1,0,1,209,0,1,0,0,"The story uses above-level vocabulary and directly references phonics terms, making it unsuitable as a decodable text.",The story is mostly coherent but ends abruptly and includes meta-language about phonics.,It is not effective for student practice due to explicit phonics discussion and off-level vocabulary.,"All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.",The Forest Hunt,,no_terminal_punctuation,"multisyllabic, phonics",,7,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses above-level vocabulary and directly references phonics terms, making it unsuitable as a decodable text.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but ends abruptly and includes meta-language about phonics.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not effective for student practice due to explicit phonics discussion and off-level vocabulary.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Forest Hunt**

In the heart of the forest, there lived a young fox named Timmy. One day, he noticed a strange sight—there was a big, red squirrel hiding under a bush. Timmy thought it was just a normal squirrel, but then he saw something more important. A group of birds were flying high above the trees, their feathers shimmering like stars. They were all on a long journey to find food for themselves.

Timmy followed them, and soon they met a wise old owl who had been listening for a long time. The owl told Timmy that the forest was full of hidden treasures, and each one could be found by following the clues given. After much searching, Timmy found a map marked with a special symbol—a number that said ""Rabbit"" in bold letters next to it.

He realized that this was a multisyllabic word: *rabbit*. He used his nose to check if the letter R was in the correct place. Then he looked at the word *family*, which also included R. As he learned more, he began to understand the importance of using phonics skills to help him learn new words. With every step he took, he felt closer to understanding how the world around"
tuned,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",0.9167,0.0,1.0,0.0,1,5,1,0,1,0,1,0,51,2,2,1,0,The story is fully decodable at the target level with a natural title and clear narrative.,"The text is coherent, complete, and free from errors or formatting issues.",It is readable but offers limited practice with vowel teams and r-controlled vowels.,"None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.",The Farm Family’s Fun Trip,,,,,7,"{""spec_adherence"": {""score"": 2, ""justification"": ""The story is fully decodable at the target level with a natural title and clear narrative.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is coherent, complete, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It is readable but offers limited practice with vowel teams and r-controlled vowels.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Farm Family’s Fun Trip

The family goes to the farm where they meet their dog.  
They have fun eating sandwiches and playing games.  
The dog can run fast on the field.  
The family has lots of food for lunch.  
They play together until it is time to go home."
base,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,0.0,1,8,1,0,1,0,1,0,138,1,2,1,0,The story contains above-level vocabulary and complex sentences that make it challenging for decodable-level readers.,"The narrative is coherent, complete, and free from formatting or structural errors.","Some target patterns appear, but advanced words and phrasing limit its effectiveness as decodable practice.","All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.",The Forest's Whisper,,,,,7,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains above-level vocabulary and complex sentences that make it challenging for decodable-level readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The narrative is coherent, complete, and free from formatting or structural errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Some target patterns appear, but advanced words and phrasing limit its effectiveness as decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to consistently produce in-level decodable text focused on multisyllabic words, vowel teams, and r-controlled vowels.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Forest's Whisper**

In a small forest where the trees hummed with old songs, there lived a curious young squirrel named Tim. One day, he noticed something unusual: a strange shape was growing in the moss under a tree. The next morning, he found a new creature — a giant raccoon! Tim felt so happy to see such an animal. But then he heard a voice saying, *""Look at the plant!""* And just then, a leaf fell from the oak tree, revealing a map of a hidden path leading deep into the forest. As they walked along, Tim saw many things — a river, a bridge, a pond full of water, and even a big stone made of wood. He learned how to listen carefully and find what others didn't. Now, he knew more about the world than ever before. 🌿✨"
tuned,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",1.0,0.0,1.0,0.0,1,6,1,0,1,0,1,0,65,1,2,1,0,"The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.","The story is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the requested phonics patterns, limiting its instructional effectiveness.","None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.",A Happy Family,,,,,7,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but lacks sufficient multisyllabic words, vowel teams, and r-controlled vowels for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the requested phonics patterns, limiting its instructional effectiveness.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the generations consistently use multisyllabic words, vowel teams, or r-controlled vowels as targeted.""}}","Write a decodable story.

Emphasize these phonics patterns:
- multisyllabic words
- vowel teams
- r-controlled vowels

Here are some example words containing these patterns:
- multisyllabic words: rabbit, family, dinosaur, computer
- vowel teams: rain, seed, boat, play
- r-controlled vowels: farm, bird, corn, turn

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: A Happy Family

Mom has a big bag of treats for all of us to eat together at dinner.
Dad is so happy when they get his treat!
Buddy likes the hot soup and smooth jelly.
Patty wants to run fast on the grass. He can run up a hill if he gets there first.
We will have so much fun eating our treats!"
